Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
pair-of-jacobean-style-red-velvet-side-chairs,Pair of Jacobean Style Red Velvet Side Chairs,"<p>Jacobean style reproduction pair of flame-stitched red velvet chairs, are piped along high backs with flaunt mottled faux stained leg frames.</p><p><strong>Materials:</strong> Velvet</p><p><strong>Category:</strong> 20th Century American Side Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"20th Century, Velvet",TRUE,Title,Default Title,,,,,ANT-CHAIR-025,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/373/XXX_8899_1346176579_1-01.jpg?width=2000&quality=90,1,Pair of Jacobean Style Red Velvet Side Chairs,FALSE,Pair of Jacobean Style Red Velvet Side Chairs | Antique Furniture Co.,"Jacobean style reproduction pair of flame-stitched red velvet chairs, are piped along high backs with flaunt mottled faux stained leg frames.",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
mid-century-style-wood-and-forged-iron-table,Mid-Century Style Wood and Forged Iron Table,<p>Unique Table with rectangular sturdy wood top and forged iron base.</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Late 20th Century American Coffee and Cocktail Tables</p>,Antique Furniture Co.,Furniture > Tables,Table,"Mid-Century, 20th Century, Wood",TRUE,Title,Default Title,,,,,ANT-TABLE-026,25000,shopify,1,deny,manual,2400,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/22_13/browntable1/XXX_BrownTable1_A-01.jpg?width=2000&quality=90,1,Mid-Century Style Wood and Forged Iron Table,FALSE,Mid-Century Style Wood and Forged Iron Table | Antique Furniture Co.,Unique Table with rectangular sturdy wood top and forged iron base.,Furniture > Tables,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
petite-french-bench,Petite French Bench,<p>Petite French style upholstered bench great for Informal entryway.</p><p><strong>Materials:</strong> Upholstery</p><p><strong>Category:</strong> 20th Century American Benches</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, French, Upholstery",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-027,5000,shopify,1,deny,manual,4500,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/01_14/_p9y9156/_P9Y9156_l.jpg?width=2000&quality=90,1,Petite French Bench,FALSE,Petite French Bench | Antique Furniture Co.,Petite French style upholstered bench great for Informal entryway.,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
petite-french-bench,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/01_13/org__p9y9158_1/ORG_ORG__P9Y9158_1.jpg?width=2000&quality=90,2,Petite French Bench - Image 2,,,,,,,,,,,,,,,,,,,,
petite-french-bench,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/01_13/org__p9y9158_1/_P9Y9158_1_s.jpg?width=2000&quality=90,3,Petite French Bench - Image 3,,,,,,,,,,,,,,,,,,,,
shepherds-reposing-george-moreland,"""Shepherds Reposing"" George Moreland","<p>In the style of Bristish sporting prints of the 18th Century. Colored engraving after George Moreland, British 1763-1804.
Silver frame, french matting.</p><p><strong>Category:</strong> Antique 18th Century and Earlier British Prints</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"Antique, 18th Century",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-028,5000,shopify,1,deny,manual,1200,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/49_13/org_shepherdsreposing/ShepherdsReposing_s.jpg?width=2000&quality=90,1,"""Shepherds Reposing"" George Moreland",FALSE,"""Shepherds Reposing"" George Moreland | Antique Furniture Co.","In the style of Bristish sporting prints of the 18th Century. Colored engraving after George Moreland, British 1763-1804.
Silver frame, french matting.",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
native-american-tobacco-case,Native American Tobacco Case,"<p>This early, hand crafted tobacco case with a rawhide leather strap is lightweight and can be used as a novelty purse for man, woman or child.</p><p><strong>Materials:</strong> Pine</p><p><strong>Category:</strong> Early 20th Century American Folk Art Tobacco Accessories</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Pine",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-029,5000,shopify,1,deny,manual,250,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/363/XXX_8899_1343830889_1.jpg?width=2000&quality=90,1,Native American Tobacco Case,FALSE,Native American Tobacco Case | Antique Furniture Co.,"This early, hand crafted tobacco case with a rawhide leather strap is lightweight and can be used as a novelty purse for man, woman or child.",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
highwayman-painting-by-george-buckner,Highwayman  Painting by George Buckner,"<p>This vivid Florida waterscape is the work of Highwayman George Buckner (1943-2002). It features an inflamed pink sky above which is reflected in the Indian river. A flock of egrets, ...</p><p><strong>Category:</strong> Vintage 1960s Paintings</p>",Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,,TRUE,Title,Default Title,,,,,ANT-PAINTING-030,5000,shopify,1,deny,manual,45000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/203/8899_1311891372_2.jpg?width=2000&quality=90,1,Highwayman  Painting by George Buckner,FALSE,Highwayman  Painting by George Buckner | Antique Furniture Co.,This vivid Florida waterscape is the work of Highwayman George Buckner (1943-2002). It features an inflamed pink sky above which is reflected in the Indian,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
highwayman-painting-by-george-buckner,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/202/8899_1311891218_1_1.jpg?width=2000&quality=90,2,Highwayman  Painting by George Buckner - Image 2,,,,,,,,,,,,,,,,,,,,
highwayman-painting-by-george-buckner,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/202/8899_1311891218_1_1-01.jpg?width=2000&quality=90,3,Highwayman  Painting by George Buckner - Image 3,,,,,,,,,,,,,,,,,,,,
paul-aho-painting-unnamed,Paul Aho Painting (unnamed),<p>Exquisite oil and acrylic painting by Paul Aho with signature painting style extending to back of canvas.  Subject of this painting is a rare departure from his usual contemporary im...</p><p><strong>Category:</strong> 20th Century American Contemporary Art</p>,Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,20th Century,TRUE,Title,Default Title,,,,,ANT-PAINTING-031,5000,shopify,1,deny,manual,25000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/94/8899_1288371368-01.jpg?width=2000&quality=90,1,Paul Aho Painting (unnamed),FALSE,Paul Aho Painting (unnamed) | Antique Furniture Co.,Exquisite oil and acrylic painting by Paul Aho with signature painting style extending to back of canvas.  Subject of this painting is a rare departure fro,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
george-iii-style-giltwood-and-gesso-pier-mirror,George III Style Giltwood and Gesso Pier Mirror,"<p>Mid 19th Century George III Style Giltwood and Gesso Pier Mirror with a spread-winged eagle crest flanked by a pair of pineapple finials above a frieze with three paterae, a rectangu...</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Antique 19th Century American George III Pier Mirrors and Console Mirrors</p>",Antique Furniture Co.,Home & Garden > Decor > Mirrors,Mirror,"19th Century, Antique, Wood",TRUE,Title,Default Title,,,,,ANT-MIRROR-032,5000,shopify,1,deny,manual,14400,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/14_14/1103286/1103286_l_s.jpg?width=2000&quality=90,1,George III Style Giltwood and Gesso Pier Mirror,FALSE,George III Style Giltwood and Gesso Pier Mirror | Antique Furniture Co.,Mid 19th Century George III Style Giltwood and Gesso Pier Mirror with a spread-winged eagle crest flanked by a pair of pineapple finials above a frieze wit,Home & Garden > Decor > Mirrors,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
jacobean-chairs,Jacobean Chairs,<p>Museum quality Italian renaissance revival pair of carved walnut padded armchairs with barley twist dog-like arm cups have crests adorned with griffons and cartouche. Beautiful red a...</p><p><strong>Materials:</strong> Walnut</p><p><strong>Category:</strong> Antique 19th Century European Armchairs</p>,Antique Furniture Co.,Furniture > Chairs,Chair,"19th Century, Antique, Walnut",TRUE,Title,Default Title,,,,,ANT-CHAIR-033,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/364/8899_1343837209_2.jpg?width=2000&quality=90,1,Jacobean Chairs,FALSE,Jacobean Chairs | Antique Furniture Co.,Museum quality Italian renaissance revival pair of carved walnut padded armchairs with barley twist dog-like arm cups have crests adorned with griffons and,Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
jacobean-chairs,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/355/XXX_8899_1343827058_1.jpg?width=2000&quality=90,2,Jacobean Chairs - Image 2,,,,,,,,,,,,,,,,,,,,
jacobean-chairs,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/355/XXX_8899_1343827058_1-01.jpg?width=2000&quality=90,3,Jacobean Chairs - Image 3,,,,,,,,,,,,,,,,,,,,
three-seat-italian-cathedral-pew,Three Seat Italian Cathedral Pew,"<p>This beautiful hand-carved mahogany three seat pew has the authentic cushions from an Italian Cathedral much like that in the Vatican.  With Intracate scrollwork, and bishop fetishes...</p><p><strong>Materials:</strong> Mahogany</p><p><strong>Category:</strong> Antique 19th Century Italian Religious Items</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, Italian, Mahogany",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-034,5000,shopify,1,deny,manual,8000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/05_13/churchbenches2/ORG_ChurchBenches2.jpg?width=2000&quality=90,1,Three Seat Italian Cathedral Pew,FALSE,Three Seat Italian Cathedral Pew | Antique Furniture Co.,This beautiful hand-carved mahogany three seat pew has the authentic cushions from an Italian Cathedral much like that in the Vatican.  With Intracate scro,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-italian-cathederal-corner-pews,Pair of Italian Cathederal Corner Pews,<p>Theses deeply hand-carved mahogany corner pews with arcs and symbols were brought from Italy to adorn a certain castle in Miami. The thickly pillowed cushions are original as that in...</p><p><strong>Materials:</strong> Mahogany</p><p><strong>Category:</strong> Antique 19th Century Italian Religious Items</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, Italian, Mahogany",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-035,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/05_13/churchbenches1r/XXX_ChurchBenches1r-01.jpg?width=2000&quality=90,1,Pair of Italian Cathederal Corner Pews,FALSE,Pair of Italian Cathederal Corner Pews | Antique Furniture Co.,Theses deeply hand-carved mahogany corner pews with arcs and symbols were brought from Italy to adorn a certain castle in Miami. The thickly pillowed cushi,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
hand-carved-english-walnut-sideboard,Hand Carved English Walnut Sideboard,<p>Hansomely beautiful handcarved English Walnut makes this a rustic yet delightful piece for dining or what have you. We stored our tea sets inside and mounted handsome plates in the p...</p><p><strong>Category:</strong> Antique 19th Century British Sideboards</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, English",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-036,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/05_13/cabinet1r/ORG_Cabinet1r.jpg?width=2000&quality=90,1,Hand Carved English Walnut Sideboard,FALSE,Hand Carved English Walnut Sideboard | Antique Furniture Co.,Hansomely beautiful handcarved English Walnut makes this a rustic yet delightful piece for dining or what have you. We stored our tea sets inside and mount,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
set-of-6-english-jacobean-style-armless-chairs,Set of 6 English Jacobean Style Armless Chairs,"<p>This Set of six English Jacobean style armless chairs feature: Barley twist back posts and stretchers, turned legs and rosette carved corner blocks. The back is arched and suspended,...</p><p><strong>Materials:</strong> Walnut</p><p><strong>Category:</strong> 20th Century English Dining Room Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"20th Century, English, Walnut",TRUE,Title,Default Title,,,,,ANT-CHAIR-037,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/324/XXX_8899_1333129861_1-01.jpg?width=2000&quality=90,1,Set of 6 English Jacobean Style Armless Chairs,FALSE,Set of 6 English Jacobean Style Armless Chairs | Antique Furniture Co.,"This Set of six English Jacobean style armless chairs feature: Barley twist back posts and stretchers, turned legs and rosette carved corner blocks. The ba",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
romeo-amp-juliet-bronze-relief,Romeo &amp; Juliet Bronze Relief,<p>Beautifully detailed romantic antique bronze bas relief plaque depicting Romeo and Juliet.  Well cast with a beautiful deep dark-brown patina.</p><p><strong>Materials:</strong> Bronze</p><p><strong>Category:</strong> Antique 19th Century Italian Decorative Art</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, Italian, Bronze",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-038,5000,shopify,1,deny,manual,1500,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/94/8899_1287194238_1_768.jpg?width=2000&quality=90,1,Romeo &amp; Juliet Bronze Relief,FALSE,Romeo &amp; Juliet Bronze Relief | Antique Furniture Co.,Beautifully detailed romantic antique bronze bas relief plaque depicting Romeo and Juliet.  Well cast with a beautiful deep dark-brown patina.,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
crosshatch-renaisance-painting-by-architect-patrick-casey,Crosshatch Renaisance Painting by Architect Patrick Casey,"<p>This is one of a series of four paintings by Patrick Casey. The only 
series of paintings that he had ever done. This series was designed to go along with the rennaisance themed cas...</p><p><strong>Category:</strong> Vintage 1960s American Paintings</p>",Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,,TRUE,Title,Default Title,,,,,ANT-PAINTING-039,5000,shopify,1,deny,manual,8000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/04_13/ren_painting7/Ren_Painting7_l.jpg?width=2000&quality=90,1,Crosshatch Renaisance Painting by Architect Patrick Casey,FALSE,Crosshatch Renaisance Painting by Architect Patric | Antique Furniture Co.,"This is one of a series of four paintings by Patrick Casey. The only 
series of paintings that he had ever done. This series was designed to go along with ","Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
crosshatch-renaisance-painting-by-architect-patrick-casey,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/04_13/ren_painting1/ORG_Ren_Painting1.jpg?width=2000&quality=90,2,Crosshatch Renaisance Painting by Architect Patrick Casey - Image 2,,,,,,,,,,,,,,,,,,,,
crosshatch-renaisance-painting-by-architect-patrick-casey,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/04_13/ren_painting1/XXX_Ren_Painting1-01.jpg?width=2000&quality=90,3,Crosshatch Renaisance Painting by Architect Patrick Casey - Image 3,,,,,,,,,,,,,,,,,,,,
crosshatch-renaisance-painting-by-architect-patrick-casey,Crosshatch Renaisance Painting by Architect Patrick Casey,"<p>This is one of a series of four paintings by Patrick Casey. The only 
series of paintings that he had ever done. This series was designed to go along with the rennaisance themed cas...</p><p><strong>Category:</strong> Vintage 1960s American Paintings</p>",Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,,TRUE,Title,Default Title,,,,,ANT-PAINTING-040,5000,shopify,1,deny,manual,8000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/04_13/ren_painting2/XXX_Ren_Painting2-01.jpg?width=2000&quality=90,1,Crosshatch Renaisance Painting by Architect Patrick Casey,FALSE,Crosshatch Renaisance Painting by Architect Patric | Antique Furniture Co.,"This is one of a series of four paintings by Patrick Casey. The only 
series of paintings that he had ever done. This series was designed to go along with ","Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
crosshatch-renaisance-painting-by-architect-patrick-casey,Crosshatch Renaisance Painting by Architect Patrick Casey,"<p>This is one of a series of four paintings by Patrick Casey. The only 
series of paintings that he had ever done. This series was designed to go along with the rennaisance themed cas...</p><p><strong>Category:</strong> Vintage 1960s American Decorative Art</p>",Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,,TRUE,Title,Default Title,,,,,ANT-PAINTING-041,5000,shopify,1,deny,manual,8000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/04_13/ren_painting4/XXX_Ren_Painting4-01.jpg?width=2000&quality=90,1,Crosshatch Renaisance Painting by Architect Patrick Casey,FALSE,Crosshatch Renaisance Painting by Architect Patric | Antique Furniture Co.,"This is one of a series of four paintings by Patrick Casey. The only 
series of paintings that he had ever done. This series was designed to go along with ","Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
crosshatch-renaisance-painting-by-architect-patrick-casey,Crosshatch Renaisance Painting by Architect Patrick Casey,"<p>This is one of a series of four paintings by Patrick Casey. The only 
series of paintings that he had ever done. This series was designed to go along with the rennaisance themed cas...</p><p><strong>Category:</strong> Vintage 1960s American Decorative Art</p>",Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,,TRUE,Title,Default Title,,,,,ANT-PAINTING-042,5000,shopify,1,deny,manual,8000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/04_13/ren_painting3/XXX_Ren_Painting3-01.jpg?width=2000&quality=90,1,Crosshatch Renaisance Painting by Architect Patrick Casey,FALSE,Crosshatch Renaisance Painting by Architect Patric | Antique Furniture Co.,"This is one of a series of four paintings by Patrick Casey. The only 
series of paintings that he had ever done. This series was designed to go along with ","Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
terra-cotta-minstrels-bas-relief,Terra Cotta Minstrels Bas-Relief,"<p>Terra Cotta Minstrels Bas Relief, Plaster of Paris with Terra Cotta Finish</p><p><strong>Category:</strong> Vintage 1960s Italian Jacobean Wall-mounted Sculptures</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,Italian,TRUE,Title,Default Title,,,,,ANT-DECORATIVE-043,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/23_14/1170262/1170262_l_s.jpeg?width=2000&quality=90,1,Terra Cotta Minstrels Bas-Relief,FALSE,Terra Cotta Minstrels Bas-Relief | Antique Furniture Co.,"Terra Cotta Minstrels Bas Relief, Plaster of Paris with Terra Cotta Finish",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
late-federal-style-ormolu-mirror,Late Federal Style Ormolu Mirror,"<p>This mirror reflects the influence of the Sheraton Style with its delicate strait lines, light construction contrasting veneers and neoclassical motifs and ornamentation.  The smalle...</p><p><strong>Category:</strong> American Wall Mirrors</p>",Antique Furniture Co.,Home & Garden > Decor > Mirrors,Mirror,,TRUE,Title,Default Title,,,,,ANT-MIRROR-044,5000,shopify,1,deny,manual,2700,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/131/XXX_8899_1299181798_1-01.jpg?width=2000&quality=90,1,Late Federal Style Ormolu Mirror,FALSE,Late Federal Style Ormolu Mirror | Antique Furniture Co.,"This mirror reflects the influence of the Sheraton Style with its delicate strait lines, light construction contrasting veneers and neoclassical motifs and",Home & Garden > Decor > Mirrors,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
repousse-silver-plate-box-by-barbour-s-p-international,Repousse Silver Plate Box by Barbour S.P. International,<p>This Repousse Silver Plate box by Barbour S.P. International features intricately etched country village scenes with dancing figures and decorative scrolls on five surfaces in a roco...</p><p><strong>Materials:</strong> Silver Plate</p><p><strong>Category:</strong> American Boxes</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,Silver Plate,TRUE,Title,Default Title,,,,,ANT-DECORATIVE-045,5000,shopify,1,deny,manual,1800,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/336/8899_1335729564_2.jpg?width=2000&quality=90,1,Repousse Silver Plate Box by Barbour S.P. International,FALSE,Repousse Silver Plate Box by Barbour S.P. Internat | Antique Furniture Co.,This Repousse Silver Plate box by Barbour S.P. International features intricately etched country village scenes with dancing figures and decorative scrolls,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
repousse-silver-plate-box-by-barbour-s-p-international,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/336/XXX_8899_1335729564_1.jpg?width=2000&quality=90,2,Repousse Silver Plate Box by Barbour S.P. International - Image 2,,,,,,,,,,,,,,,,,,,,
repousse-silver-plate-box-by-barbour-s-p-international,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/336/XXX_8899_1335729564_1-01.jpg?width=2000&quality=90,3,Repousse Silver Plate Box by Barbour S.P. International - Image 3,,,,,,,,,,,,,,,,,,,,
pair-of-pouf-ottomans-designed-by-marge-carson,Pair of Pouf Ottomans Designed by Marge Carson,<p>This pair of tuffet ottomans were designed by Marge Carson. They feature a Napoleonic bee embroidered upholstery on the handkerchief top and black pleated satin around the body. The ...</p><p><strong>Category:</strong> American Ottomans and Poufs</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,,TRUE,Title,Default Title,,,,,ANT-DECORATIVE-046,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/273/XXX_8899_1323380886_1-01.jpg?width=2000&quality=90,1,Pair of Pouf Ottomans Designed by Marge Carson,FALSE,Pair of Pouf Ottomans Designed by Marge Carson | Antique Furniture Co.,This pair of tuffet ottomans were designed by Marge Carson. They feature a Napoleonic bee embroidered upholstery on the handkerchief top and black pleated ,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
ornamental-french-roccoco-inspired-plaque,Ornamental French Roccoco Inspired Plaque,<p>Colorful Floral Raccoco Design wall hanging</p><p><strong>Category:</strong> 20th Century American Paintings</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, French",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-047,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/304/XXX_8899_1330409915_1-01.jpg?width=2000&quality=90,1,Ornamental French Roccoco Inspired Plaque,FALSE,Ornamental French Roccoco Inspired Plaque | Antique Furniture Co.,Colorful Floral Raccoco Design wall hanging,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
1920-s-boudoir-rotary-telephone,1920’s Boudoir Rotary Telephone,<p>This wonderful French style boudoir telephone was made by the Danish manufacturer Aktieselskab Kjobenhavns Telefon in the 1920’s. The phone has a solid and heavy brass body that was ...</p><p><strong>Materials:</strong> Brass</p><p><strong>Category:</strong> Early 20th Century Danish More Furniture and Collectibles</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Brass",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-048,5000,shopify,1,deny,manual,210,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/133/8899_1299266047_2.jpg?width=2000&quality=90,1,1920’s Boudoir Rotary Telephone,FALSE,1920’s Boudoir Rotary Telephone | Antique Furniture Co.,This wonderful French style boudoir telephone was made by the Danish manufacturer Aktieselskab Kjobenhavns Telefon in the 1920’s. The phone has a solid and,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
1920-s-boudoir-rotary-telephone,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/131/XXX_8899_1299262576_1.jpg?width=2000&quality=90,2,1920’s Boudoir Rotary Telephone - Image 2,,,,,,,,,,,,,,,,,,,,
1920-s-boudoir-rotary-telephone,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/131/XXX_8899_1299262576_1-01.jpg?width=2000&quality=90,3,1920’s Boudoir Rotary Telephone - Image 3,,,,,,,,,,,,,,,,,,,,
pair-of-william-and-mary-style-andirons,Pair of William and Mary Style Andirons,"<p>These elegant brass Andirons were created in the style of William and Mary.  They feature turned balusters, ball shaped finals and scroll feet. Cast in wonderful detail with decorati...</p><p><strong>Materials:</strong> Brass</p><p><strong>Category:</strong> Antique 19th Century Andirons</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, Brass",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-049,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/106/XXX_8899_1291154162_1_768.jpg?width=2000&quality=90,1,Pair of William and Mary Style Andirons,FALSE,Pair of William and Mary Style Andirons | Antique Furniture Co.,"These elegant brass Andirons were created in the style of William and Mary.  They feature turned balusters, ball shaped finals and scroll feet. Cast in won",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
trio-of-early-20th-century-bouillotte-tables,Trio of Early 20th Century Bouillotte Tables,"<p>Bouillotte Tables, Louis XVI Style, round, tapered, fluted legs. French walnut, pierced brass galleries surround bottecino marble tops.</p><p><strong>Category:</strong> Early 20th Century Unknown Louis XVI Side Tables</p>",Antique Furniture Co.,Furniture > Tables,Table,20th Century,TRUE,Title,Default Title,,,,,ANT-TABLE-050,25000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/17_13/roundtables1/XXX_roundTables1-01.jpg?width=2000&quality=90,1,Trio of Early 20th Century Bouillotte Tables,FALSE,Trio of Early 20th Century Bouillotte Tables | Antique Furniture Co.,"Bouillotte Tables, Louis XVI Style, round, tapered, fluted legs. French walnut, pierced brass galleries surround bottecino marble tops.",Furniture > Tables,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
